Key,Participant_ID,Start_ms,End_ms,ivt_mean_fix_dur,ivt_mean_sac_amp,ivt_fixation_count,ivt_saccade_count
1spl1,1,1680003250000.0,1680003260000.0,1153.1543878691605,7.95603997763316,1055.0,112.0
1spl2,1,1680003260000.0,1680003268000.0,244.43374746835744,6.4549333553227415,790.0,144.0
1Item1,1,1680003268000.0,1680003276000.0,456.35689145907554,6.616173315509276,843.0,96.0
1Item2,1,1680003276000.0,1680003290000.0,421.71454245673647,5.117583112457542,1445.0,192.0
1Item3,1,1680003291000.0,1680003307000.0,271.7374132051299,5.191612289135499,1560.0,251.0
1Item4,1,1680003307000.0,1680003325000.0,330.620532186119,5.670640264708156,1816.0,259.0
1Item5,1,1680003325000.0,1680003351000.0,380.6477556293797,6.549676360963501,2709.0,351.0
1Item6,1,1680003351000.0,1680003359000.0,302.67340176322017,5.715087413158079,794.0,125.0
1Item7,1,1680003359000.0,1680003368000.0,405.520801132683,7.236931873124547,927.0,100.0
1Item8,1,1680003368000.0,1680003385000.0,480.1201683925317,7.705946766627959,1661.0,231.0
1Item9,1,1680003385000.0,1680003394000.0,338.3570550549432,7.053259251507717,910.0,132.0
1Item10,1,1680003394000.0,1680003416000.0,325.0920896221914,8.1564338701678,2091.0,350.0
2spl1,1,1680003479000.0,1680003485000.0,242.8037139823101,6.741486257139775,565.0,126.0
2spl2,1,1680003487000.0,1680003494000.0,261.34539827585445,8.161807567371376,667.0,109.0
2Item1,1,1680003495000.0,1680003500000.0,326.04442541666333,8.50133648005833,480.0,95.0
2Item2,1,1680003501000.0,1680003504000.0,334.1795532374086,9.753047890274946,278.0,66.0
2Item3,1,1680003505000.0,1680003511000.0,270.05657568058325,9.188511284684916,551.0,134.0
2Item4,1,1680003512000.0,1680003523000.0,305.3901113723608,7.318326818511393,1042.0,187.0
2Item5,1,1680003524000.0,1680003531000.0,327.5085297545957,7.33521980657729,652.0,130.0
2Item6,1,1680003532000.0,1680003545000.0,298.60392973962496,8.319122057757902,1229.0,253.0
2Item7,1,1680003546000.0,1680003581000.0,458.13217836972257,7.753249728797511,3435.0,467.0
